time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-06-08T00:00,75.4,88,71.6,83.3,0.0,0.0,0.0,99,5.0,994.0
2026-06-08T01:00,74.1,93,72.0,81.0,0.0,0.0,0.0,99,9.5,993.8
2026-06-08T02:00,73.6,90,70.5,80.5,0.0,0.0,0.0,99,7.6,993.7
2026-06-08T03:00,73.2,85,68.4,78.9,0.0,0.0,0.0,99,12.5,993.4
2026-06-08T04:00,72.1,90,69.0,77.1,0.0,0.0,0.0,99,13.2,993.3
2026-06-08T05:00,71.4,91,68.7,77.9,0.0,0.0,0.0,63,9.8,993.3
2026-06-08T06:00,71.5,91,68.7,78.2,0.0,0.0,0.0,13,6.2,994.0
2026-06-08T07:00,71.6,90,68.5,78.4,14.0,40.8,11.0,100,3.2,994.7
2026-06-08T08:00,72.5,93,70.4,79.8,66.0,0.0,66.0,62,2.1,995.3
2026-06-08T09:00,74.9,84,69.8,81.2,332.0,327.7,199.0,5,5.0,996.1
2026-06-08T10:00,77.6,78,70.2,83.5,524.0,384.4,297.0,34,6.7,996.2
2026-06-08T11:00,79.3,80,72.6,89.8,694.0,477.5,336.0,30,2.0,996.4
2026-06-08T12:00,81.1,79,73.9,93.8,822.0,623.3,278.0,89,1.8,996.3
2026-06-08T13:00,82.0,75,73.2,92.5,742.0,487.9,278.0,59,3.9,996.4
2026-06-08T14:00,83.6,72,73.6,96.0,894.0,708.7,200.0,27,3.6,996.1
2026-06-08T15:00,84.3,68,72.6,92.6,598.0,217.7,390.0,33,4.5,995.7
2026-06-08T16:00,83.1,70,72.3,90.0,279.0,0.0,279.0,79,6.1,995.2
2026-06-08T17:00,82.9,73,73.3,91.5,677.0,487.9,305.0,100,7.4,995.5
2026-06-08T18:00,75.0,100,75.0,85.1,338.0,3.3,336.0,100,2.2,996.2
2026-06-08T19:00,74.4,97,73.5,83.2,89.0,0.0,89.0,100,3.9,996.0
2026-06-08T20:00,73.8,100,73.8,83.8,40.0,0.0,40.0,100,0.4,996.6
2026-06-08T21:00,73.5,97,72.6,82.2,0.0,0.0,0.0,88,2.1,996.9
2026-06-08T22:00,73.6,96,72.4,82.7,0.0,0.0,0.0,100,3.2,997.1
2026-06-08T23:00,73.4,94,71.6,81.6,0.0,0.0,0.0,100,5.1,997.5
